time,source,destination,datalength,sequence,acknumber,sndcwnd,sstresh,srtt,rcvwnd,ca_state
16:33:01.344227,192.168.0.1:41140,10.0.0.2:5202,2896,2304853313,587955262,8,7,36846,42496,0
16:33:01.344418,192.168.0.1:41140,10.0.0.2:5202,2896,2304856209,587955262,8,7,36359,42496,0
16:33:01.344802,192.168.0.1:41140,10.0.0.2:5202,2896,2304859105,587955262,8,7,35992,42496,0
16:33:01.346973,192.168.0.1:40122,10.0.0.2:5201,2896,2007950277,1084528913,7,5,33068,42496,0
16:33:01.347466,192.168.0.1:40122,10.0.0.2:5201,2896,2007953173,1084528913,8,5,33036,42496,0
16:33:01.347897,192.168.0.1:40122,10.0.0.2:5201,2896,2007956069,1084528913,8,5,33061,42496,0
16:33:01.348276,192.168.0.1:41140,10.0.0.2:5202,2896,2304862001,587955262,8,7,35806,42496,0
16:33:01.348523,192.168.0.1:41140,10.0.0.2:5202,2896,2304864897,587955262,8,7,35625,42496,0
16:33:01.348736,192.168.0.1:41140,10.0.0.2:5202,2896,2304867793,587955262,8,7,35488,42496,0
16:33:01.348950,192.168.0.1:41140,10.0.0.2:5202,2896,2304870689,587955262,8,7,35199,42496,0
16:33:01.351012,192.168.0.1:40122,10.0.0.2:5201,2896,2007958965,1084528913,8,5,36199,42496,0
16:33:01.351024,192.168.0.1:40122,10.0.0.2:5201,2896,2007961861,1084528913,8,5,35725,42496,0
16:33:01.351608,192.168.0.1:40122,10.0.0.2:5201,2896,2007964757,1084528913,9,5,35117,42496,0
16:33:01.351979,192.168.0.1:40122,10.0.0.2:5201,2896,2007967653,1084528913,9,5,34808,42496,0
16:33:01.352020,192.168.0.1:40122,10.0.0.2:5201,1448,2007970549,1084528913,9,5,34576,42496,0
16:33:01.352413,192.168.0.1:41140,10.0.0.2:5202,2896,2304873585,587955262,8,7,34934,42496,0
16:33:01.352653,192.168.0.1:41140,10.0.0.2:5202,2896,2304876481,587955262,8,7,34697,42496,0
16:33:01.352909,192.168.0.1:41140,10.0.0.2:5202,2896,2304879377,587955262,8,7,34531,42496,0
16:33:01.353094,192.168.0.1:41140,10.0.0.2:5202,2896,2304882273,587955262,8,7,34158,42496,0
16:33:01.355054,192.168.0.1:40122,10.0.0.2:5201,1448,2007971997,1084528913,9,5,34294,42496,0
16:33:01.355173,192.168.0.1:40122,10.0.0.2:5201,2896,2007973445,1084528913,9,5,33948,42496,0
16:33:01.355665,192.168.0.1:40122,10.0.0.2:5201,2896,2007976341,1084528913,9,5,33781,42496,0
16:33:01.356016,192.168.0.1:40122,10.0.0.2:5201,4344,2007979237,1084528913,10,5,33456,42496,0
16:33:01.356125,192.168.0.1:40122,10.0.0.2:5201,2896,2007983581,1084528913,10,5,33259,42496,0
16:33:01.356440,192.168.0.1:41140,10.0.0.2:5202,1448,2304885169,587955262,8,7,33915,42496,0
16:33:01.356446,192.168.0.1:41140,10.0.0.2:5202,1448,2304886617,587955262,8,7,33710,42496,0
16:33:01.356686,192.168.0.1:41140,10.0.0.2:5202,2896,2304888065,587955262,8,7,33369,42496,0
16:33:01.357018,192.168.0.1:41140,10.0.0.2:5202,2896,2304890961,587955262,8,7,33250,42496,0
16:33:01.357240,192.168.0.1:41140,10.0.0.2:5202,2896,2304893857,587955262,8,7,33127,42496,0
16:33:01.359085,192.168.0.1:40122,10.0.0.2:5201,1448,2007986477,1084528913,10,5,33130,42496,0
16:33:01.359693,192.168.0.1:40122,10.0.0.2:5201,4344,2007987925,1084528913,10,5,32841,42496,0
16:33:01.360084,192.168.0.1:40122,10.0.0.2:5201,4344,2007992269,1084528913,10,5,32710,42496,0
16:33:01.360310,192.168.0.1:40122,10.0.0.2:5201,4344,2007996613,1084528913,11,5,32883,42496,0
16:33:01.360471,192.168.0.1:40122,10.0.0.2:5201,1448,2008000957,1084528913,11,5,33118,42496,0
16:33:01.360557,192.168.0.1:41140,10.0.0.2:5202,1448,2304896753,587955262,8,7,33101,42496,0
16:33:01.360796,192.168.0.1:41140,10.0.0.2:5202,2896,2304898201,587955262,8,7,33159,42496,0
16:33:01.361077,192.168.0.1:41140,10.0.0.2:5202,2896,2304901097,587955262,8,7,33237,42496,0
16:33:01.361287,192.168.0.1:41140,10.0.0.2:5202,2896,2304903993,587955262,8,7,33123,42496,0
16:33:01.361402,192.168.0.1:41140,10.0.0.2:5202,1448,2304906889,587955262,8,7,33144,42496,0
16:33:01.363141,192.168.0.1:40122,10.0.0.2:5201,1448,2008002405,1084528913,11,5,33034,42496,0
16:33:01.363723,192.168.0.1:40122,10.0.0.2:5201,1448,2008003853,1084528913,11,5,32934,42496,0
16:33:01.364141,192.168.0.1:40122,10.0.0.2:5201,4344,2008005301,1084528913,11,5,32835,42496,0
16:33:01.364369,192.168.0.1:40122,10.0.0.2:5201,4344,2008009645,1084528913,11,5,32820,42496,0
16:33:01.364613,192.168.0.1:40122,10.0.0.2:5201,4344,2008013989,1084528913,12,5,33091,42496,0
16:33:01.364737,192.168.0.1:40122,10.0.0.2:5201,1448,2008018333,1084528913,12,5,33219,42496,0
