time,source,destination,datalength,sequence,acknumber,sndcwnd,sstresh,srtt,rcvwnd,ca_state
12:22:35.584935,192.168.0.1:38960,10.0.0.2:5201,0,3979110775,0,10,2147483647,0,42340,0
12:22:35.585348,192.168.0.1:38690,10.0.0.2:5202,0,3748961004,0,10,2147483647,0,42340,0
12:22:35.593200,192.168.0.1:38960,10.0.0.2:5201,0,3979110776,2248734767,10,2147483647,66040,42496,0
12:22:35.593218,192.168.0.1:38690,10.0.0.2:5202,0,3748961005,1497879254,10,2147483647,62912,42496,0
12:22:35.593242,192.168.0.1:38960,10.0.0.2:5201,37,3979110776,2248734767,10,2147483647,66040,42496,0
12:22:35.593245,192.168.0.1:38690,10.0.0.2:5202,37,3748961005,1497879254,10,2147483647,62912,42496,0
12:22:35.597387,192.168.0.1:38690,10.0.0.2:5202,0,3748961042,1497879255,10,2147483647,59183,42496,0
12:22:35.597402,192.168.0.1:38960,10.0.0.2:5201,0,3979110813,2248734768,10,2147483647,61917,42496,0
12:22:35.597438,192.168.0.1:38690,10.0.0.2:5202,4,3748961042,1497879255,10,2147483647,59183,42496,0
12:22:35.597442,192.168.0.1:38960,10.0.0.2:5201,4,3979110813,2248734768,10,2147483647,61917,42496,0
12:22:35.644520,192.168.0.1:38960,10.0.0.2:5201,135,3979110817,2248734768,10,2147483647,101251,42496,0
12:22:35.644537,192.168.0.1:38690,10.0.0.2:5202,136,3748961046,1497879255,10,2147483647,98878,42496,0
12:22:35.648740,192.168.0.1:38970,10.0.0.2:5201,0,2572387779,0,10,2147483647,0,42340,0
12:22:35.648759,192.168.0.1:38694,10.0.0.2:5202,0,3978705611,0,10,2147483647,0,42340,0
12:22:35.652870,192.168.0.1:38970,10.0.0.2:5201,0,2572387780,4149197894,10,2147483647,32984,42496,0
12:22:35.652887,192.168.0.1:38694,10.0.0.2:5202,0,3978705612,118146128,10,2147483647,32976,42496,0
12:22:35.652900,192.168.0.1:38970,10.0.0.2:5201,37,2572387780,4149197894,10,2147483647,32984,42496,0
12:22:35.652915,192.168.0.1:38694,10.0.0.2:5202,37,3978705612,118146128,10,2147483647,32976,42496,0
12:22:35.690487,192.168.0.1:38690,10.0.0.2:5202,0,3748961182,1497879256,10,2147483647,90632,42496,0
12:22:35.690504,192.168.0.1:38960,10.0.0.2:5201,0,3979110952,2248734769,10,2147483647,92721,42496,0
12:22:35.694652,192.168.0.1:38690,10.0.0.2:5202,0,3748961182,1497879258,10,2147483647,90632,42496,0
12:22:35.694659,192.168.0.1:38960,10.0.0.2:5201,0,3979110952,2248734771,10,2147483647,92721,42496,0
12:22:35.694689,192.168.0.1:38694,10.0.0.2:5202,7240,3978705649,118146128,10,2147483647,32879,42496,0
12:22:35.694695,192.168.0.1:38970,10.0.0.2:5201,7240,2572387817,4149197894,10,2147483647,32898,42496,0
12:22:35.694696,192.168.0.1:38694,10.0.0.2:5202,7240,3978712889,118146128,10,2147483647,32879,42496,0
12:22:35.694705,192.168.0.1:38970,10.0.0.2:5201,7240,2572395057,4149197894,10,2147483647,32898,42496,0
12:22:35.698781,192.168.0.1:38694,10.0.0.2:5202,1448,3978720129,118146128,10,2147483647,32849,42496,1
12:22:35.698862,192.168.0.1:38694,10.0.0.2:5202,1448,3978705649,118146128,8,7,32918,42496,3
12:22:35.699103,192.168.0.1:38694,10.0.0.2:5202,1448,3978721577,118146128,7,7,33360,42496,3
12:22:35.699222,192.168.0.1:38694,10.0.0.2:5202,1448,3978723025,118146128,7,7,33712,42496,3
12:22:35.699345,192.168.0.1:38694,10.0.0.2:5202,1448,3978724473,118146128,7,7,34142,42496,3
12:22:35.699475,192.168.0.1:38694,10.0.0.2:5202,1448,3978725921,118146128,7,7,34649,42496,3
12:22:35.699589,192.168.0.1:38694,10.0.0.2:5202,1448,3978727369,118146128,7,7,35205,42496,3
12:22:35.699709,192.168.0.1:38970,10.0.0.2:5201,1448,2572402297,4149197894,10,2147483647,33798,42496,1
12:22:35.699947,192.168.0.1:38970,10.0.0.2:5201,1448,2572387817,4149197894,8,5,35622,42496,3
12:22:35.700190,192.168.0.1:38970,10.0.0.2:5201,1448,2572403745,4149197894,7,5,37460,42496,3
12:22:35.700553,192.168.0.1:38970,10.0.0.2:5201,1448,2572405193,4149197894,5,5,40244,42496,3
12:22:35.700684,192.168.0.1:38970,10.0.0.2:5201,1448,2572406641,4149197894,5,5,41190,42496,3
12:22:35.702821,192.168.0.1:38694,10.0.0.2:5202,1448,3978728817,118146128,7,7,34839,42496,3
12:22:35.703149,192.168.0.1:38694,10.0.0.2:5202,2896,3978730265,118146128,7,7,34217,42496,0
12:22:35.703374,192.168.0.1:38694,10.0.0.2:5202,2896,3978733161,118146128,7,7,33763,42496,0
12:22:35.703738,192.168.0.1:38970,10.0.0.2:5201,1448,2572408089,4149197894,5,5,40068,42496,3
12:22:35.704226,192.168.0.1:38970,10.0.0.2:5201,2896,2572409537,4149197894,5,5,38213,42496,0
12:22:35.704717,192.168.0.1:38970,10.0.0.2:5201,2896,2572412433,4149197894,5,5,36827,42496,0
12:22:35.706858,192.168.0.1:38694,10.0.0.2:5202,2896,3978736057,118146128,8,7,36641,42496,0
12:22:35.706865,192.168.0.1:38694,10.0.0.2:5202,2896,3978738953,118146128,8,7,36641,42496,0
12:22:35.707200,192.168.0.1:38694,10.0.0.2:5202,2896,3978741849,118146128,8,7,36105,42496,0
12:22:35.707422,192.168.0.1:38694,10.0.0.2:5202,2896,3978744745,118146128,8,7,35637,42496,0
12:22:35.707774,192.168.0.1:38970,10.0.0.2:5201,2896,2572415329,4149197894,6,5,36258,42496,0
12:22:35.708288,192.168.0.1:38970,10.0.0.2:5201,2896,2572418225,4149197894,6,5,35787,42496,0
12:22:35.708762,192.168.0.1:38970,10.0.0.2:5201,2896,2572421121,4149197894,6,5,35358,42496,0
12:22:35.710910,192.168.0.1:38694,10.0.0.2:5202,2896,3978747641,118146128,8,7,35225,42496,0
12:22:35.711156,192.168.0.1:38694,10.0.0.2:5202,2896,3978750537,118146128,8,7,35112,42496,0
12:22:35.711384,192.168.0.1:38694,10.0.0.2:5202,2896,3978753433,118146128,8,7,34901,42496,0
12:22:35.711628,192.168.0.1:38694,10.0.0.2:5202,2896,3978756329,118146128,8,7,34739,42496,0
12:22:35.711866,192.168.0.1:38970,10.0.0.2:5201,2896,2572424017,4149197894,7,5,35027,42496,0
12:22:35.712337,192.168.0.1:38970,10.0.0.2:5201,2896,2572426913,4149197894,7,5,34694,42496,0
12:22:35.712813,192.168.0.1:38970,10.0.0.2:5201,2896,2572429809,4149197894,7,5,34406,42496,0
12:22:35.712827,192.168.0.1:38970,10.0.0.2:5201,1448,2572432705,4149197894,7,5,34406,42496,0
12:22:35.714965,192.168.0.1:38694,10.0.0.2:5202,2896,3978759225,118146128,8,7,34447,42496,0
12:22:35.715219,192.168.0.1:38694,10.0.0.2:5202,2896,3978762121,118146128,8,7,34201,42496,0
12:22:35.715430,192.168.0.1:38694,10.0.0.2:5202,2896,3978765017,118146128,8,7,33969,42496,0
12:22:35.715680,192.168.0.1:38694,10.0.0.2:5202,2896,3978767913,118146128,8,7,33772,42496,0
12:22:35.715911,192.168.0.1:38970,10.0.0.2:5201,2896,2572434153,4149197894,7,5,34150,42496,0
12:22:35.716385,192.168.0.1:38970,10.0.0.2:5201,2896,2572437049,4149197894,8,5,33929,42496,0
12:22:35.716865,192.168.0.1:38970,10.0.0.2:5201,2896,2572439945,4149197894,8,5,33738,42496,0
12:22:35.719006,192.168.0.1:38694,10.0.0.2:5202,2896,3978770809,118146128,8,7,33585,42496,0
12:22:35.719263,192.168.0.1:38694,10.0.0.2:5202,2896,3978773705,118146128,8,7,33427,42496,0
12:22:35.719491,192.168.0.1:38694,10.0.0.2:5202,2896,3978776601,118146128,8,7,33305,42496,0
12:22:35.719729,192.168.0.1:38694,10.0.0.2:5202,2896,3978779497,118146128,8,7,33189,42496,0
12:22:35.719944,192.168.0.1:38970,10.0.0.2:5201,2896,2572442841,4149197894,8,5,36650,42496,0
12:22:35.719983,192.168.0.1:38970,10.0.0.2:5201,2896,2572445737,4149197894,8,5,36129,42496,0
12:22:35.720431,192.168.0.1:38970,10.0.0.2:5201,2896,2572448633,4149197894,9,5,35237,42496,0
12:22:35.720909,192.168.0.1:38970,10.0.0.2:5201,2896,2572451529,4149197894,9,5,34873,42496,0
12:22:35.720920,192.168.0.1:38970,10.0.0.2:5201,1448,2572454425,4149197894,9,5,34567,42496,0
12:22:35.723067,192.168.0.1:38694,10.0.0.2:5202,2896,3978782393,118146128,8,7,33089,42496,0
12:22:35.723308,192.168.0.1:38694,10.0.0.2:5202,2896,3978785289,118146128,8,7,32906,42496,0
12:22:35.723612,192.168.0.1:38694,10.0.0.2:5202,2896,3978788185,118146128,8,7,32915,42496,0
12:22:35.723785,192.168.0.1:38694,10.0.0.2:5202,2896,3978791081,118146128,8,7,32799,42496,0
12:22:35.723975,192.168.0.1:38970,10.0.0.2:5201,1448,2572455873,4149197894,9,5,34276,42496,0
12:22:35.724133,192.168.0.1:38970,10.0.0.2:5201,2896,2572457321,4149197894,9,5,33949,42496,0
12:22:35.724469,192.168.0.1:38970,10.0.0.2:5201,2896,2572460217,4149197894,9,5,33769,42496,0
12:22:35.724960,192.168.0.1:38970,10.0.0.2:5201,4344,2572463113,4149197894,10,5,33562,42496,0
12:22:35.725056,192.168.0.1:38970,10.0.0.2:5201,2896,2572467457,4149197894,10,5,33383,42496,0
12:22:35.727113,192.168.0.1:38694,10.0.0.2:5202,1448,3978793977,118146128,8,7,32740,42496,0
12:22:35.727340,192.168.0.1:38694,10.0.0.2:5202,2896,3978795425,118146128,8,7,32675,42496,0
12:22:35.727660,192.168.0.1:38694,10.0.0.2:5202,2896,3978798321,118146128,8,7,32604,42496,0
12:22:35.727830,192.168.0.1:38694,10.0.0.2:5202,2896,3978801217,118146128,8,7,32554,42496,0
12:22:35.727888,192.168.0.1:38694,10.0.0.2:5202,1448,3978804113,118146128,8,7,32585,42496,0
12:22:35.728015,192.168.0.1:38970,10.0.0.2:5201,1448,2572470353,4149197894,10,5,33249,42496,0
12:22:35.728508,192.168.0.1:38970,10.0.0.2:5201,4344,2572471801,4149197894,10,5,32995,42496,0
12:22:35.729007,192.168.0.1:38970,10.0.0.2:5201,4344,2572476145,4149197894,10,5,32789,42496,0
12:22:35.729241,192.168.0.1:38970,10.0.0.2:5201,4344,2572480489,4149197894,11,5,32911,42496,0
12:22:35.729360,192.168.0.1:38970,10.0.0.2:5201,1448,2572484833,4149197894,11,5,33101,42496,0
12:22:35.731156,192.168.0.1:38694,10.0.0.2:5202,1448,3978805561,118146128,8,7,32548,42496,0
12:22:35.731384,192.168.0.1:38694,10.0.0.2:5202,2896,3978807009,118146128,8,7,32493,42496,0
12:22:35.731725,192.168.0.1:38694,10.0.0.2:5202,2896,3978809905,118146128,8,7,32490,42496,0
12:22:35.731943,192.168.0.1:38694,10.0.0.2:5202,2896,3978812801,118146128,8,7,32516,42496,0
12:22:35.732072,192.168.0.1:38694,10.0.0.2:5202,1448,3978815697,118146128,8,7,32630,42496,0
12:22:35.732184,192.168.0.1:38970,10.0.0.2:5201,1448,2572486281,4149197894,11,5,33130,42496,0
12:22:35.732538,192.168.0.1:38970,10.0.0.2:5201,1448,2572487729,4149197894,11,5,33017,42496,0
12:22:35.733068,192.168.0.1:38970,10.0.0.2:5201,4344,2572489177,4149197894,11,5,32897,42496,0
12:22:35.733300,192.168.0.1:38970,10.0.0.2:5201,4344,2572493521,4149197894,11,5,32868,42496,0
12:22:35.733552,192.168.0.1:38970,10.0.0.2:5201,4344,2572497865,4149197894,12,5,33129,42496,0
12:22:35.733661,192.168.0.1:38970,10.0.0.2:5201,1448,2572502209,4149197894,12,5,33286,42496,0
12:22:35.735207,192.168.0.1:38694,10.0.0.2:5202,1448,3978817145,118146128,8,7,32589,42496,0
12:22:35.735435,192.168.0.1:38694,10.0.0.2:5202,2896,3978818593,118146128,8,7,32533,42496,0
12:22:35.735774,192.168.0.1:38694,10.0.0.2:5202,2896,3978821489,118146128,8,7,32491,42496,0
12:22:35.735994,192.168.0.1:38694,10.0.0.2:5202,2896,3978824385,118146128,8,7,32463,42496,0
12:22:35.736116,192.168.0.1:38694,10.0.0.2:5202,1448,3978827281,118146128,8,7,32446,42496,0
12:22:35.736246,192.168.0.1:38970,10.0.0.2:5201,1448,2572503657,4149197894,12,5,33186,42496,0
12:22:35.737107,192.168.0.1:38970,10.0.0.2:5201,4344,2572505105,4149197894,12,5,32903,42496,0
12:22:35.737246,192.168.0.1:38970,10.0.0.2:5201,1448,2572509449,4149197894,12,5,32968,42496,0
12:22:35.737576,192.168.0.1:38970,10.0.0.2:5201,4344,2572510897,4149197894,12,5,33115,42496,0
12:22:35.737939,192.168.0.1:38970,10.0.0.2:5201,4344,2572515241,4149197894,13,5,33476,42496,0
12:22:35.738062,192.168.0.1:38970,10.0.0.2:5201,2896,2572519585,4149197894,13,5,33692,42496,0
12:22:35.739255,192.168.0.1:38694,10.0.0.2:5202,2896,3978828729,118146128,9,7,32432,42496,0
12:22:35.739563,192.168.0.1:38694,10.0.0.2:5202,4344,3978831625,118146128,10,7,32559,42496,0
12:22:35.739826,192.168.0.1:38694,10.0.0.2:5202,4344,3978835969,118146128,11,7,32516,42496,0
12:22:35.740050,192.168.0.1:38694,10.0.0.2:5202,4344,3978840313,118146128,12,7,32474,42496,0
12:22:35.740165,192.168.0.1:38694,10.0.0.2:5202,2896,3978844657,118146128,13,7,32457,42496,0
12:22:35.740287,192.168.0.1:38970,10.0.0.2:5201,1448,2572522481,4149197894,13,5,33520,42496,0
12:22:35.741403,192.168.0.1:38970,10.0.0.2:5201,5792,2572523929,4149197894,13,5,33227,42496,0
12:22:35.741983,192.168.0.1:38970,10.0.0.2:5201,5792,2572529721,4149197894,13,5,32964,42496,0
12:22:35.742225,192.168.0.1:38970,10.0.0.2:5201,5792,2572535513,4149197894,14,5,32988,42496,0
12:22:35.742349,192.168.0.1:38970,10.0.0.2:5201,1448,2572541305,4149197894,14,5,33151,42496,0
12:22:35.743299,192.168.0.1:38694,10.0.0.2:5202,1448,3978847553,118146128,13,7,32435,42496,0
12:22:35.743715,192.168.0.1:38694,10.0.0.2:5202,5792,3978849001,118146128,13,7,32549,42496,0
12:22:35.744193,192.168.0.1:38694,10.0.0.2:5202,5792,3978854793,118146128,13,7,32805,42496,0
12:22:35.744556,192.168.0.1:38694,10.0.0.2:5202,4344,3978860585,118146128,13,7,33527,42496,0
12:22:35.744686,192.168.0.1:38694,10.0.0.2:5202,1448,3978864929,118146128,13,7,33855,42496,0
12:22:35.744805,192.168.0.1:38970,10.0.0.2:5201,1448,2572542753,4149197894,14,5,33525,42496,0
12:22:35.745673,192.168.0.1:38970,10.0.0.2:5201,5792,2572544201,4149197894,14,5,33351,42496,0
12:22:35.746257,192.168.0.1:38970,10.0.0.2:5201,5792,2572549993,4149197894,14,5,33243,42496,0
12:22:35.746616,192.168.0.1:38970,10.0.0.2:5201,5792,2572555785,4149197894,15,5,33579,42496,0
12:22:35.746861,192.168.0.1:38970,10.0.0.2:5201,2896,2572561577,4149197894,15,5,34178,42496,0
12:22:35.747340,192.168.0.1:38694,10.0.0.2:5202,1448,3978866377,118146128,13,7,33655,42496,0
12:22:35.748017,192.168.0.1:38694,10.0.0.2:5202,4344,3978867825,118146128,13,7,33466,42496,0
12:22:35.748295,192.168.0.1:38694,10.0.0.2:5202,4344,3978872169,118146128,13,7,33249,42496,0
12:22:35.748723,192.168.0.1:38694,10.0.0.2:5202,5792,3978876513,118146128,13,7,33280,42496,0
12:22:35.748969,192.168.0.1:38694,10.0.0.2:5202,2896,3978882305,118146128,13,7,33510,42496,0
12:22:35.749091,192.168.0.1:38970,10.0.0.2:5201,1448,2572564473,4149197894,15,5,34188,42496,0
12:22:35.749941,192.168.0.1:38970,10.0.0.2:5201,5792,2572565921,4149197894,15,5,33737,42496,0
12:22:35.750521,192.168.0.1:38970,10.0.0.2:5201,5792,2572571713,4149197894,15,5,33459,42496,0
12:22:35.751009,192.168.0.1:38970,10.0.0.2:5201,5792,2572577505,4149197894,16,5,33610,42496,0
12:22:35.751247,192.168.0.1:38970,10.0.0.2:5201,4344,2572583297,4149197894,16,5,33849,42496,0
12:22:35.751381,192.168.0.1:38694,10.0.0.2:5202,1448,3978885201,118146128,13,7,33360,42496,0
12:22:35.752325,192.168.0.1:38694,10.0.0.2:5202,5792,3978886649,118146128,13,7,33055,42496,0
12:22:35.752788,192.168.0.1:38694,10.0.0.2:5202,5792,3978892441,118146128,13,7,32995,42496,0
12:22:35.753274,192.168.0.1:38694,10.0.0.2:5202,4344,3978898233,118146128,13,7,33406,42496,0
12:22:35.753282,192.168.0.1:38694,10.0.0.2:5202,1448,3978902577,118146128,13,7,33406,42496,0
12:22:35.753434,192.168.0.1:38970,10.0.0.2:5201,1448,2572587641,4149197894,16,5,33960,42496,0
12:22:35.754201,192.168.0.1:38970,10.0.0.2:5201,5792,2572589089,4149197894,16,5,33577,42496,0
12:22:35.754786,192.168.0.1:38970,10.0.0.2:5201,5792,2572594881,4149197894,16,5,33395,42496,0
12:22:35.755272,192.168.0.1:38970,10.0.0.2:5201,5792,2572600673,4149197894,16,5,33243,42496,0
12:22:35.755765,192.168.0.1:38694,10.0.0.2:5202,1448,3978904025,118146128,13,7,33609,42496,0
12:22:35.756583,192.168.0.1:38694,10.0.0.2:5202,4344,3978905473,118146128,13,7,33412,42496,0
12:22:35.756965,192.168.0.1:38694,10.0.0.2:5202,5792,3978909817,118146128,13,7,33268,42496,0
12:22:35.757451,192.168.0.1:38694,10.0.0.2:5202,5792,3978915609,118146128,13,7,33190,42496,0
12:22:35.757581,192.168.0.1:38694,10.0.0.2:5202,1448,3978921401,118146128,13,7,33344,42496,0
12:22:35.757706,192.168.0.1:38970,10.0.0.2:5201,7240,2572606465,4149197894,17,5,33695,42496,0
12:22:35.758821,192.168.0.1:38970,10.0.0.2:5201,7240,2572613705,4149197894,17,5,33314,42496,0
12:22:35.759304,192.168.0.1:38970,10.0.0.2:5201,7240,2572620945,4149197894,17,5,33067,42496,0
12:22:35.759549,192.168.0.1:38970,10.0.0.2:5201,2896,2572628185,4149197894,17,5,33217,42496,0
